Company Name,Rating,No_of_Reviews,No_of_Followers,Tags,Type,Year Founded,Company Size,HQ Location,Website,Company Type,company size category,Small,Medium,Large
Wemited Innovations,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2012 (12 yrs old),Nov-50,,http://wemited.com,Corporate,Small,True,False,False
GeeksForGeeks,3.6,(127 reviews),0,"Education / Training, Financial Services, Private, Corporate, B2C",Private,2009 (15 yrs old),Nov-50,,https://www.geeksforgeeks.org,Corporate,Small,True,False,False
The International School Bangalore (TISB),4.3,(12 reviews),0,"Education / Training, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://tisb.org,Corporate,Medium,False,True,False
Netxcell,3.6,(90 reviews),0,"Telecom / ISP, Recruitment / Staffing, Banking, Private, Corporate, B2B",Private,2000 (24 yrs old),1001-5000,"Hyderabad/Secunderabad, Telangana",http://www.netxcell.com,Corporate,Medium,False,True,False
Sartorius,3.9,(81 reviews),0,"Biotechnology, Internet, Private, Corporate, B2B",Private,1991 (33 yrs old),5001-10000,,https://www.sartorius.com/en,Corporate,Medium,False,True,False
OSI Systems,,,0,"Electrical Equipment, Private, Corporate, B2C, B2B",Private,1987 (37 yrs old),1001-5000,,http://www.osi-systems.com,Corporate,Medium,False,True,False
Akshay Software Technologies,3.8,(19 reviews),0,"Recruitment / Staffing, Public, Corporate, B2B",Public,1987 (37 yrs old),51-200,,http://www.akshay.com,Corporate,Small,True,False,False
Almamate Infotech,4.1,(7 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,https://almamate.in/,Corporate,Small,True,False,False
Eltel Industries,,,0,"Electronics Manufacturing, Private, Corporate, B2B",Private,1983 (41 yrs old),51-200,,http://www.eltelindustries.com,Corporate,Small,True,False,False
Rtech Group,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,2007 (17 yrs old),201-500,,http://www.rtechgroup.co.in,Corporate,Medium,False,True,False
iEnergizer,4.7,(16.4K reviews),5.8K followers ,"BPO / Call Centre, IT Services & Consulting, Private, Corporate, B2C, B2B",Private,2000 (24 yrs old),100001+,"Noida, India",https://www.ienergizer.com/,Corporate,Large,False,False,True
Object Technology Solutions,3.9,(150 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),501-1000,,https://www.otsi-usa.com/,Corporate,Medium,False,True,False
Seashell Logistics,3.9,(84 reviews),0,"Courier / Logistics, Private, Corporate, B2B",Private,2007 (17 yrs old),501-1000,,http://seashellgroup.in/,Corporate,Medium,False,True,False
Centre for Sight,4.0,(255 reviews),3.3K followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,1996 (28 yrs old),501-1000,,https://www.centreforsight.net,Corporate,Medium,False,True,False
HIL Limited,4.2,(551 reviews),0,"Building Material, Public, Corporate, B2B",Public,1946 (78 yrs old),1001-5000,"Hyderabad, Telangana",https://hil.in/,Corporate,Medium,False,True,False
Crazy Fox Creations,,,0,"Film / Music / Entertainment, Sole Proprietorship, Corporate, B2C, B2B",Sole Proprietorship,2008 (16 yrs old),Nov-50,,https://www.crazyfoxmedia.com/,Corporate,Small,True,False,False
VNC Electrodes,4.5,(3 reviews),697 followers ,"Chemicals, Corporate, B2C, B2B",,1983 (41 yrs old),,"Karur, Tamil Nadu",https://www.vncgroup.com/,Corporate,,False,False,False
Fourrts,3.9,(224 reviews),0,"Pharmaceutical & Life Sciences, Clinical Research / Contract Research, Private, Corporate, B2B",Private,1977 (47 yrs old),1001-5000,,http://www.fourrts.com/,Corporate,Medium,False,True,False
Met Technologies,,,0,"BPO / Call Centre, IT Services & Consulting, Private, Corporate, B2C, B2B",Private,2010 (14 yrs old),501-1000,,http://www.met-technologies.com,Corporate,Medium,False,True,False
EPICA STUDIO,4.3,(5 reviews),0,"Film / Music / Entertainment, Private, Corporate, B2B",Private,2014 (10 yrs old),51-200,,https://www.ariesepica.com/,Corporate,Small,True,False,False
Renault Nissan Technology and Business Centre India (RNTBCI),3.9,(1.4K reviews),15.9K followers ,"Automobile, Corporate, B2B",,2007 (17 yrs old),5001-10000,,https://rntbci.in/,Corporate,Medium,False,True,False
Europe Study Centre,3.8,(37 reviews),0,"Education / Training, Private, Corporate, B2C",Private,2012 (12 yrs old),51-200,,https://www.europestudycentre.com/,Corporate,Small,True,False,False
Blue Dart,4.1,(2K reviews),4.4K followers ,"Courier / Logistics, Public, Corporate, B2C, B2B",Public,1983 (41 yrs old),10001-50000,,https://www.bluedart.com/,Corporate,Large,False,False,True
Achiievers Equities,,,0,"Financial Services, Public, Corporate, B2B",Public,1999 (25 yrs old),51-200,,https://www.achiieversequitiesltd.com/,Corporate,Small,True,False,False
Finolex Cables,3.9,(560 reviews),940 followers ,"Electrical Equipment, Public, Corporate, B2C, B2B",Public,1956 (68 yrs old),1001-5000,,http://www.finolex.com,Corporate,Medium,False,True,False
Karuna Management Services,4.6,(235 reviews),0,"Retail, Private, Corporate, B2B",Private,1995 (29 yrs old),501-1000,,http://www.karunagroup.in/,Corporate,Medium,False,True,False
Jyoti CNC Automation,4.1,(288 reviews),0,"Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1989 (35 yrs old),1001-5000,,http://jyoti.co.in,Corporate,Medium,False,True,False
Oportun ,,,562 followers ,"FinTech / Payments, Corporate, B2C",,2005 (19 yrs old),1001-5000,"San Carlos, California, United States (USA)",https://oportun.com/,Corporate,Medium,False,True,False
DHIO Research and Engineering,,,0,"Industrial Equipment / Machinery, Analytics / KPO / Research, Private, Corporate, B2B",Private,2010 (14 yrs old),Nov-50,,http://www.dhio.in,Corporate,Small,True,False,False
Gracure Pharmaceuticals,3.6,(174 reviews),0,"Pharmaceutical & Life Sciences, Medical Services / Hospital, Private, Corporate, B2C",Private,1992 (32 yrs old),501-1000,"New Delhi, Delhi",https://www.gracure.com/,Corporate,Medium,False,True,False
Techtree It Systems,,,0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2006 (18 yrs old),51-200,,https://www.techtreeit.com/portal/,Corporate,Small,True,False,False
PLV Technologies,,,0,"IT Services & Consulting, Financial Services, Private, Corporate, B2B",Private,2011 (13 yrs old),,,https://www.plvglobal.com/,Corporate,,False,False,False
Randstad,3.9,(3K reviews),36.3K followers ,"Recruitment / Staffing, Private, Corporate, B2C, B2B, Conglomerate",Private,1992 (32 yrs old),10001-50000,Amsterdam,https://www.randstad.in/,Corporate,Large,False,False,True
Emami,4.0,(1.2K reviews),864 followers ,"FMCG, Beauty & Personal Care, Building Material, Real Estate, Retail, Public, Corporate, B2C, Conglomerate",Public,1974 (50 yrs old),1001-5000,,http://www.emamiltd.in/,Corporate,Medium,False,True,False
Ebco,,,0,"Furniture & Furnishing, Private, Corporate, B2C, B2B",Private,1963 (61 yrs old),501-1000,,http://www.ebco.in,Corporate,Medium,False,True,False
BK Engineers,4.1,(9 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.bkengineers.com,Corporate,Small,True,False,False
Quality Profiles,3.7,(8 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1992 (32 yrs old),51-200,,http://www.qualityprofiles.in,Corporate,Small,True,False,False
Ananthapuri Hospitals & Research Institute (AHRI),4.4,(25 reviews),0,"Medical Services / Hospital, Clinical Research / Contract Research, Private, Corporate, B2C",Private,2005 (19 yrs old),201-500,,https://www.ananthapurihospitals.com/,Corporate,Medium,False,True,False
Titan Company,4.4,(2.3K reviews),1.1K followers ,"Retail, Public, Corporate, B2C, B2B, Minicorn",Public,1984 (40 yrs old),5001-10000,"Bengaluru/Bangalore, Karnataka",https://www.titancompany.in/,Corporate,Medium,False,True,False
CIMCON Software,,,0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,1988 (36 yrs old),Nov-50,,http://www.cimcon.com,Corporate,Small,True,False,False
AQM Technologies,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),501-1000,,http://www.aqmtechnologies.com,Corporate,Medium,False,True,False
GM Analytics Solutions,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2018 (6 yrs old),Nov-50,,http://www.gmanalyticssolutions.com/,Corporate,Small,True,False,False
Aurigene Discovery,4.4,(181 reviews),0,"Biotechnology, Private, Corporate, B2B",Private,2002 (22 yrs old),501-1000,"Bangalore / Bengaluru, Karnataka",https://www.aurigene.com/,Corporate,Medium,False,True,False
Zuan Education,,,0,"e-Learning / EdTech, NGO/NPO, Corporate, B2C, B2B",NGO/NPO,2011 (13 yrs old),Nov-50,,,Corporate,Small,True,False,False
Arvind Limited,4.1,(1.2K reviews),16.4K followers ,"Textile & Apparel, Retail, Public, Corporate, B2C, Conglomerate, E-commerce",Public,1931 (93 yrs old),10001-50000,"Ahmedabad, Gujarat",http://www.arvind.com,Corporate,Large,False,False,True
Ipsos,,,0,"Analytics / KPO / Research, Advertising / PR / Events, Internet, Private, Corporate, B2B",Private,1975 (49 yrs old),10001-50000,,,Corporate,Large,False,False,True
Foodcoast,3.6,(68 reviews),0,"Food Processing, LLP, Corporate, B2B",LLP,2009 (15 yrs old),51-200,,http://www.foodcoast.com/,Corporate,Small,True,False,False
Reed Elsevier,3.7,(91 reviews),0,"Analytics / KPO / Research, Hardware & Networking, IT Services & Consulting, Software Product, Corporate, B2B",,1993 (31 yrs old),,,,Corporate,,False,False,False
propshop,,,0,"Real Estate, Private, Corporate, B2C, B2B",Private,2014 (10 yrs old),501-1000,,http://propshop.org.in/,Corporate,Medium,False,True,False
Laxmi Publications,,,0,"Printing & Publishing, Private, Corporate, B2C, B2B",Private,1974 (50 yrs old),201-500,,https://www.laxmipublication.in/,Corporate,Medium,False,True,False
In Solutions Global (ISG),3.7,(338 reviews),968 followers ,"FinTech / Payments, Financial Services, Private, Corporate, B2C, B2B",Private,2004 (20 yrs old),1001-5000,"Mumbai, Maharashtra",https://insolutionsglobal.com/,Corporate,Medium,False,True,False
CodeEpsilon,4.5,(4 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2014 (10 yrs old),Nov-50,,https://www.codeepsilon.com/,Corporate,Small,True,False,False
SevenHills Hospital,3.9,(221 reviews),316 followers ,"Medical Services / Hospital, Private, Corporate, B2C",Private,1986 (38 yrs old),1001-5000,,http://www.sevenhillshospital.com/,Corporate,Medium,False,True,False
SAMSARA SHIPPING ,3.6,(64 reviews),0,"Courier / Logistics, Private, Corporate, B2B",Private,1996 (28 yrs old),501-1000,,https://www.samsarashipping.com/,Corporate,Medium,False,True,False
GiveIndia,4.1,(14 reviews),0,"NGO / Social Services / Industry Associations, Corporate, B2C",,1999 (25 yrs old),,,https://www.giveindia.org/,Corporate,,False,False,False
Indglobal Consultancy Solutions,4.4,(10 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://indglobal.in/,Corporate,Small,True,False,False
CIMET,3.6,(11 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, SaaS",Private,2017 (7 yrs old),51-200,"Sydney, Australia",http://www.cimet.com.au,Corporate,Small,True,False,False
Campus Activewear,4.2,(152 reviews),0,"Textile & Apparel, Public, Corporate, B2C, B2B",Public,2006 (18 yrs old),1001-5000,,https://www.campusactivewear.com/,Corporate,Medium,False,True,False
Akshaya Pvt Ltd,,,0,"Real Estate, Engineering & Construction, Private, Corporate, B2C, B2B",Private,1995 (29 yrs old),51-200,,https://www.akshaya.com/,Corporate,Small,True,False,False
WSNE Consulting,,,0,"Recruitment / Staffing, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://www.wsneconsulting.com/,Corporate,Small,True,False,False
Wonderla Holidays,4.5,(289 reviews),0,"Hotels & Restaurants, Public, Corporate, B2C",Public,2000 (24 yrs old),1001-5000,,http://www.wonderla.com,Corporate,Medium,False,True,False
Parsvnath Developers,3.7,(97 reviews),0,"Real Estate, Engineering & Construction, Public, Corporate, B2C, B2B",Public,1990 (34 yrs old),1001-5000,,http://www.parsvnath.com,Corporate,Medium,False,True,False
V Guard,4.4,(1.2K reviews),566 followers ,"Consumer Electronics & Appliances, Electronics Manufacturing, Public, Corporate, B2B",Public,1977 (47 yrs old),1001-5000,"Kochi, Kerala",http://www.vguard.in,Corporate,Medium,False,True,False
GlobusSoft,4.0,(176 reviews),0,"IT Services & Consulting, Hardware & Networking, Private, Corporate, B2B",Private,2009 (15 yrs old),51-200,,https://globussoft.com/,Corporate,Small,True,False,False
Vamani Overseas,,,0,"Furniture & Furnishing, Private, Corporate, B2C, B2B",Private,2002 (22 yrs old),5001-10000,,http://www.vamanioverseas.com,Corporate,Medium,False,True,False
Kesari Tours,3.9,(126 reviews),0,"Travel & Tourism, Private, Corporate, B2C, B2B",Private,1984 (40 yrs old),1001-5000,,http://www.kesari.in,Corporate,Medium,False,True,False
Shreya Life Sciences,,,0,"Pharmaceutical & Life Sciences, Private, Corporate, B2B",Private,2001 (23 yrs old),1001-5000,,http://www.shreya.co.in,Corporate,Medium,False,True,False
Blend360 India,,,0,"IT Services & Consulting, Private, Corporate",Private,2015 (9 yrs old),501-1000,Columbia,http://www.blend360.com,Corporate,Medium,False,True,False
UNIKUL Solutions,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.unikul.com,Corporate,Small,True,False,False
Tricon Energy,,,0,"Oil & Gas, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,http://www.triconenergy.com,Corporate,Medium,False,True,False
Pramila Projects,3.7,(45 reviews),0,"Engineering & Construction, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,,http://pramilaprojects.com/,Corporate,Medium,False,True,False
Nikon,4.4,(97 reviews),0,"Consumer Electronics & Appliances, Internet, Private, Corporate, B2C",Private,2007 (17 yrs old),10001-50000,,https://www.nikon.co.in/,Corporate,Large,False,False,True
Intech Systems,4.1,(41 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,1978 (46 yrs old),51-200,,https://www.intech-systems.com/,Corporate,Small,True,False,False
Startek,,,27.9K followers ,"BPO / Call Centre, IT Services & Consulting, Public, Corporate, Indian MNC, B2C, B2B",Public,2017 (7 yrs old),10001-50000,,,Corporate,Large,False,False,True
Nobel Hygiene,3.7,(247 reviews),0,"Medical Services / Hospital, Financial Services, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://www.nobelhygiene.com,Corporate,Medium,False,True,False
Kelvin Plastic,3.6,(21 reviews),0,"Petrochemical / Plastics / Rubber, Private, Corporate, B2B",Private,1994 (30 yrs old),51-200,,https://www.kelvinwater.co.in/,Corporate,Small,True,False,False
Fresenius Kabi,4.2,(921 reviews),251 followers ,"Pharmaceutical & Life Sciences, Analytics / KPO / Research, Private, Corporate, B2C",Private,1999 (25 yrs old),100001+,"Pune, Maharashtra",https://www.fresenius-kabi.com/,Corporate,Large,False,False,True
Robosoft Technologies,,,0,"IT Services & Consulting, Internet, Private, Corporate, B2B",Private,1996 (28 yrs old),501-1000,"New Udupi, India",http://www.robosoftin.com,Corporate,Medium,False,True,False
Indus Net Technologies,3.7,(242 reviews),0,"IT Services & Consulting, Real Estate, Private, Corporate, B2B",Private,1997 (27 yrs old),501-1000,,http://www.indusnet.co.in,Corporate,Medium,False,True,False
Avaada Energy,4.4,(200 reviews),243 followers ,"Power, Internet, Private, Corporate, B2B, Soonicorn",Private,2009 (15 yrs old),501-1000,"Mumbai, India",https://avaadaenergy.com/,Corporate,Medium,False,True,False
Amar Ujala,4.0,(420 reviews),1.8K followers ,"Printing & Publishing, Private, Corporate, B2C",Private,1948 (76 yrs old),1001-5000,,,Corporate,Medium,False,True,False
Neer Interactives,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.neerinteractives.com,Corporate,Small,True,False,False
Carnation Infotech,3.7,(15 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2018 (6 yrs old),51-200,,https://www.carnationit.com/,Corporate,Small,True,False,False
iMz Media Solutions,4.9,(26 reviews),0,"Advertising & Marketing, Financial Services, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.imzmediasolutions.com/,Corporate,Small,True,False,False
Telecom Network Solutions (TNS),4.3,(274 reviews),0,"Telecom / ISP, Private, Corporate, B2C",Private,2001 (23 yrs old),501-1000,,http://www.tnsworld.com/,Corporate,Medium,False,True,False
Design Atelier,5.0,(4 reviews),0,"Architecture / Interior Design, Engineering & Construction, Partnership, Corporate, B2C, B2B",Partnership,1989 (35 yrs old),Nov-50,,https://www.da-urbis.net,Corporate,Small,True,False,False
Observer Research Foundation,,,0,"Analytics / KPO / Research, NGO / Social Services / Industry Associations, Private, Corporate, B2B",Private,1990 (34 yrs old),51-200,,http://www.orfonline.org,Corporate,Small,True,False,False
Intesols,4.5,(42 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2011 (13 yrs old),,,http://www.intesols.com.au/,Corporate,,False,False,False
Intergrow Brands,4.3,(39 reviews),0,"FMCG, Private, Corporate, B2B",Private,2012 (12 yrs old),201-500,,http://www.intergrowbrands.com/,Corporate,Medium,False,True,False
Vmarsh,,,0,"Textile & Apparel, Recruitment / Staffing, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,https://www.vmarsh.com/,Corporate,Small,True,False,False
Lovely Autos,4.6,(16 reviews),0,"Auto Components, Private, Corporate, B2C",Private,1991 (33 yrs old),501-1000,,http://www.lovelyautosmaruti.com,Corporate,Medium,False,True,False
Maven Wave Partners,4.2,(96 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,http://www.mavenwave.com,Corporate,Small,True,False,False
Stratogent,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2008 (16 yrs old),Nov-50,,http://www.stratogent.com,Corporate,Small,True,False,False
Syschem India,,,0,"Pharmaceutical & Life Sciences, Public, Corporate, B2B",Public,1993 (31 yrs old),201-500,,https://www.syschem.in/company.html,Corporate,Medium,False,True,False
MSP Group,4.0,(214 reviews),0,"Iron & Steel, Metals & Mining, Public, Corporate, B2B",Public,1930 (94 yrs old),1001-5000,,https://www.mspsteel.com,Corporate,Medium,False,True,False
Sintex Industries,4.1,(490 reviews),0,"Industrial Equipment / Machinery, Public, Corporate, B2B",Public,1931 (93 yrs old),5001-10000,,http://www.sintex.in/,Corporate,Medium,False,True,False
Sir Hn Reliance Foundation Hospital,3.9,(220 reviews),0,"Medical Services / Hospital, Clinical Research / Contract Research, Public, Corporate, B2C",Public,1925 (99 yrs old),,,https://www.rfhospital.org/,Corporate,,False,False,False
Bhakti Vedanta Hospital,4.5,(68 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C",Private,1998 (26 yrs old),51-200,,http://www.bhaktivedantahospital.com/,Corporate,Small,True,False,False
ReachLocal Services,3.8,(249 reviews),0,"Advertising & Marketing, Private, Corporate, B2B",Private,2010 (14 yrs old),501-1000,"Mumbai, Maharashtra",https://www.reachlocalindia.com/,Corporate,Medium,False,True,False
Thinksynq Solutions,3.7,(115 reviews),0,"Management Consulting, Private, Corporate, B2B",Private,2007 (17 yrs old),201-500,"Chennai, Tamil Nadu",http://www.thinksynq.in,Corporate,Medium,False,True,False
Madhucon Projects,,,0,"Engineering & Construction, Public, Corporate, B2C, B2B",Public,1983 (41 yrs old),501-1000,,http://www.madhucon.com,Corporate,Medium,False,True,False
Quantum Asset Management,3.9,(30 reviews),0,"Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),51-200,,https://www.QuantumAMC.com,Corporate,Small,True,False,False
Jana Small Finance Bank,3.9,(5.5K reviews),26.6K followers ,"Banking, Public, Corporate, B2C, B2B",Public,2006 (18 yrs old),10001-50000, Bengaluru,https://www.janabank.com/,Corporate,Large,False,False,True
V Guard,4.4,(1.2K reviews),566 followers ,"Consumer Electronics & Appliances, Electronics Manufacturing, Public, Corporate, B2B",Public,1977 (47 yrs old),1001-5000,"Kochi, Kerala",http://www.vguard.in,Corporate,Medium,False,True,False
City Union Bank,,,0,"Banking, Financial Services, Public, Corporate, B2C",Public,1904 (120 yrs old),5001-10000,Kumbakonam.,,Corporate,Medium,False,True,False
PRDC,4.0,(69 reviews),0,"Oil & Gas, Facility Management Services, IT Services & Consulting, Private, Corporate, B2B",Private,1994 (30 yrs old),201-500,,http://www.prdcinfotech.com/,Corporate,Medium,False,True,False
Talent21,4.7,(16 reviews),0,"Recruitment / Staffing, Private, Corporate, B2B",Private,2015 (9 yrs old),51-200,,https://www.talent21.in/index.html,Corporate,Small,True,False,False
Theeta Electricals,3.7,(52 reviews),0,"Electrical Equipment, Private, Corporate, B2C, B2B",Private,1995 (29 yrs old),02-Oct,,http://www.theeta.com,Corporate,Small,True,False,False
Intuitor SoftTech Services,4.2,(7 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2010 (14 yrs old),51-200,,https://www.intuitorit.com/,Corporate,Small,True,False,False
JIL Information Technology,3.9,(59 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://www.jilit.co.in/,Corporate,Medium,False,True,False
BBR INDIA,4.0,(67 reviews),0,"Engineering & Construction, Private, Corporate, B2C, B2B",Private,1977 (47 yrs old),51-200,,http://www.bbrindia.co.in/,Corporate,Small,True,False,False
KCMT,4.5,(6 reviews),0,"Education / Training, Public, Corporate, B2C",Public,2001 (23 yrs old),51-200,,http://www.kcmt.in/,Corporate,Small,True,False,False
Balance Nutrition,,,0,"Medical Services / Hospital, Private, Corporate, B2C",Private,2014 (10 yrs old),01-Oct,,https://www.balancenutrition.in/,Corporate,Small,True,False,False
Cnergyis Infotech India,3.6,(109 reviews),0,"IT Services & Consulting, Internet, Private, Corporate, B2C, B2B, SaaS, Minicorn",Private,2002 (22 yrs old),201-500,,https://www.zinghr.com,Corporate,Medium,False,True,False
Tricon Energy,,,0,"Oil & Gas, Private, Corporate, B2B",Private,1996 (28 yrs old),201-500,,http://www.triconenergy.com,Corporate,Medium,False,True,False
Decimal Technologies,,,0,"Software Product, Hardware & Networking, Private, Corporate, B2B",Private,2009 (15 yrs old),201-500,,http://www.decimaltech.com,Corporate,Medium,False,True,False
KarePartners,4.5,(18 reviews),0,"Medical Services / Hospital, Private, Corporate, B2C, B2B",Private,2012 (12 yrs old),51-200,,http://india.karepartners.com/,Corporate,Small,True,False,False
Freecharge,4.0,(276 reviews),1.5K followers ,"Financial Services, Internet, FinTech / Payments, Emerging Technologies, Software Product, Private, Corporate, B2C, Conglomerate",Private,2010 (14 yrs old),501-1000, Bengaluru,https://www.freecharge.in/,Corporate,Medium,False,True,False
FIVE STAR Business Finance,4.3,(420 reviews),966 followers ,"NBFC, Public, Corporate, B2B, Graduated Unicorn",Public,1984 (40 yrs old),5001-10000,"Chennai, India",https://fivestargroup.in/,Corporate,Medium,False,True,False
Orient Bell,3.7,(291 reviews),0,"Building Material, Public, Corporate, B2C",Public,1977 (47 yrs old),501-1000,,http://www.orientbell.com,Corporate,Medium,False,True,False
Percept Web Solutions,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.perceptwebsolutions.com/,Corporate,Small,True,False,False
enertia,,,0,"Oil & Gas, Private, Corporate, B2B",Private,1985 (39 yrs old),51-200,,http://www.enertia-software.com,Corporate,Small,True,False,False
DP Jain & Co Infrastructure,,,0,"Engineering & Construction, Real Estate, Private, Corporate, B2B",Private,1974 (50 yrs old),201-500,,https://www.dpjaingroup.com/,Corporate,Medium,False,True,False
Exalogic Solution,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2014 (10 yrs old),Nov-50,,,Corporate,Small,True,False,False
Bonanza Portfolio,,,0,"Financial Services, Private, Corporate, B2C, B2B",Private,1994 (30 yrs old),1001-5000,,https://www.bonanzaonline.com/,Corporate,Medium,False,True,False
Zeki Software,4.9,(3 reviews),102 followers ,"Software Product, Private, Corporate, B2B",Private,2006 (18 yrs old),Nov-50,,,Corporate,Small,True,False,False
Pittie Group,,,0,"Real Estate, FMCG, Private, Corporate, B2C",Private,1991 (33 yrs old),1001-5000,,https://pittiegroup.com/,Corporate,Medium,False,True,False
Unimix Equipments,4.2,(19 reviews),0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1994 (30 yrs old),51-200,,http://www.uni-mix.com,Corporate,Small,True,False,False
Enrich IT,4.8,(32 reviews),108 followers ,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),51-200,,,Corporate,Small,True,False,False
Silverlink Technologies,4.3,(314 reviews),0,"IT Services & Consulting, Private, Corporate, B2B",Private,2003 (21 yrs old),201-500,,http://www.silverlinktechnologies.com,Corporate,Medium,False,True,False
The George Telegraph Training Institute (GTTI),,,0,"Education / Training, Private, Corporate, B2C",Private,1920 (104 yrs old),1001-5000,,https://www.georgetelegraph.org/,Corporate,Medium,False,True,False
Neer Interactives,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2009 (15 yrs old),Nov-50,,http://www.neerinteractives.com,Corporate,Small,True,False,False
TransGraph Consulting,4.2,(14 reviews),0,"Analytics / KPO / Research, Private, Corporate, B2B",Private,2003 (21 yrs old),51-200,,http://www.transgraph.com,Corporate,Small,True,False,False
Radiant Cash Management Services,,,0,"Financial Services, Private, Corporate, B2B",Private,2005 (19 yrs old),5001-10000,,,Corporate,Medium,False,True,False
Baliga Lighting Equipments,,,0,"Electronics Manufacturing, Private, Corporate, B2B",Private,1960 (64 yrs old),51-200,,http://www.baliga.com/,Corporate,Small,True,False,False
Dasra,4.6,(8 reviews),0,"NGO / Social Services / Industry Associations, Financial Services, NGO/NPO, Corporate, B2C",NGO/NPO,1999 (25 yrs old),51-200,,http://www.dasra.org,Corporate,Small,True,False,False
Somic ZF Components,4.2,(238 reviews),0,"Auto Components, Iron & Steel, Industrial Equipment / Machinery, Private, Corporate, B2B",Private,1995 (29 yrs old),201-500,,http://www.somiczfindia.com/#top,Corporate,Medium,False,True,False
Lloyds Metals and Energy(LMEL),3.9,(104 reviews),0,"Iron & Steel, Power, Public, Corporate, B2B",Public,1986 (38 yrs old),201-500,,https://lloyds.in,Corporate,Medium,False,True,False
Turning Point Software,3.9,(53 reviews),0,"IT Services & Consulting, Software Product, Private, Corporate, B2B",Private,2002 (22 yrs old),201-500,,http://www.tpgsi.com,Corporate,Medium,False,True,False
Ion Exchange,3.9,(836 reviews),0,"Water Treatment / Waste Management, Power, Public, Corporate, B2C, B2B",Public,1964 (60 yrs old),1001-5000,,https://ionexchangeglobal.com/,Corporate,Medium,False,True,False
WNS Holdings,,,60.5K followers ,"BPO / Call Centre, Food Processing, Private, Corporate, B2B",Private,1996 (28 yrs old),10001-50000,,https://www.wns.com/,Corporate,Large,False,False,True
The International School Bangalore (TISB),4.3,(12 reviews),0,"Education / Training, Private, Corporate, B2B",Private,2000 (24 yrs old),201-500,,http://tisb.org,Corporate,Medium,False,True,False
Topnotch Softsol,,,0,"IT Services & Consulting, Private, Corporate, B2B",Private,2004 (20 yrs old),Nov-50,,http://www.topnottchsofttsol.com,Corporate,Small,True,False,False
SPARX IT Solutions,3.9,(94 reviews),0,"IT Services & Consulting, Hardware & Networking, Software Product, Private, Corporate, B2B",Private,2008 (16 yrs old),51-200,,https://www.sparxitsolutions.com/,Corporate,Small,True,False,False
Netzsch Technologies,,,0,"Industrial Equipment / Machinery, Private, Corporate, B2B",Private,2004 (20 yrs old),201-500,"Chennai, India",,Corporate,Medium,False,True,False
Suresh Surana & Associates,,,0,"Accounting / Auditing, LLP, Corporate, B2B",LLP,1984 (40 yrs old),201-500,,,Corporate,Medium,False,True,False
